,이름,연도팀,출장,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WAR,WPA,ERA,FIP,WHIP,ERA+,FIP
69,임현준,20삼,20,20,0,0,0,0,1,0,0,11.1,5,3,51,12,2,0,2,4,0,3,7,0,1,2.38,6.51,1.41,209.3,76.2,0.29,-0.36
70,데스파이네,20K,19,19,0,0,19,10,5,0,0,116.0,55,52,498,126,22,1,10,32,0,6,95,0,8,4.03,4.06,1.36,119.8,117.1,2.14,0.68
71,정영일,20S,19,19,0,0,0,2,1,1,1,16.1,12,12,73,18,2,0,6,5,0,2,14,0,3,6.61,7.95,1.41,72.6,62.3,0.01,-0.13
72,김대우,20삼,18,18,0,0,6,3,4,0,1,56.2,27,22,244,58,12,1,5,19,0,5,27,0,0,3.49,5.06,1.36,142.7,97.0,1.26,-0.15
73,김민수,20K,18,18,0,0,9,2,4,0,0,53.2,43,36,253,79,7,0,7,18,0,2,32,0,3,6.04,5.22,1.81,80.0,90.9,-0.60,-1.86
74,전유수,20K,18,18,0,0,0,1,1,0,0,19.0,13,13,85,21,3,0,2,10,0,0,9,0,0,6.16,5.60,1.63,78.5,85.0,0.10,-0.20
75,홍정우,20삼,18,18,0,0,0,0,0,0,0,18.0,12,11,81,19,4,0,1,6,0,1,17,0,0,5.50,3.60,1.39,90.6,135.9,0.16,0.02
76,강동연,20N,18,18,0,0,0,1,2,0,1,17.1,13,12,76,18,2,0,3,8,1,1,14,0,0,6.23,5.62,1.50,78.6,86.5,-0.03,-0.60
77,이상화,20K,18,18,0,0,0,1,1,0,1,15.0,9,9,65,11,2,0,2,10,2,0,7,0,1,5.40,6.00,1.40,89.5,79.6,0.16,-0.12
78,알칸타라,20두,17,17,1,0,17,10,1,0,0,109.1,35,33,442,102,21,1,8,17,0,5,98,0,1,2.72,3.36,1.09,172.5,138.9,4.30,2.59
79,스트레일리,20롯,17,17,0,0,17,6,3,0,0,108.2,29,24,425,79,12,0,6,26,0,3,111,0,4,1.99,3.07,0.97,244.8,156.7,4.55,2.24
80,요키시,20키,17,17,0,0,17,10,3,0,0,106.0,32,25,416,92,17,3,6,17,0,3,65,0,2,2.12,3.67,1.03,223.3,128.9,3.82,2.45
81,서폴드,20한,17,17,1,1,17,5,9,0,0,102.0,69,58,454,131,22,3,8,18,0,9,59,0,7,5.12,4.26,1.46,93.6,113.5,0.62,-1.17
82,유희관,20두,17,17,0,0,17,7,6,0,0,90.2,59,51,414,125,24,3,10,29,4,2,34,0,0,5.06,5.18,1.70,92.6,90.0,0.32,-1.45
83,핀토,20S,17,17,0,0,17,4,8,0,0,90.2,67,57,442,120,23,1,5,52,2,8,50,1,6,5.66,5.13,1.90,84.8,94.5,-0.27,-1.55
84,양현종,20K,17,17,0,0,17,7,6,0,0,89.2,59,56,396,103,25,3,11,30,0,2,77,0,3,5.62,4.55,1.48,88.3,108.1,0.50,-1.02
85,이원준,20S,17,17,0,0,0,0,1,0,0,19.1,17,17,100,28,5,2,3,16,2,0,17,0,7,7.91,6.03,2.28,60.6,81.2,-0.09,-0.61
86,안영명,20한,17,17,0,0,0,1,1,0,0,18.2,14,12,87,25,6,0,2,6,0,2,17,0,0,5.79,4.46,1.66,82.8,108.5,0.07,-0.27
87,문동욱,20한,17,17,0,0,0,0,1,1,1,16.1,8,7,75,12,2,0,2,15,1,1,9,0,2,3.86,6.84,1.65,124.1,70.8,0.40,-0.07
88,브룩스,20K,16,16,1,1,16,7,3,0,0,104.2,28,27,410,92,13,0,3,20,0,2,82,1,3,2.32,3.04,1.07,213.7,161.1,4.89,2.64
89,뷰캐넌,20삼,16,16,1,0,16,9,6,0,0,102.1,47,44,423,101,11,2,10,27,0,5,63,0,1,3.87,4.58,1.25,128.8,107.5,2.23,0.76
90,루친스키,20N,16,16,0,0,16,11,1,0,0,101.1,28,26,415,85,6,0,7,32,0,4,91,0,7,2.31,3.77,1.16,212.1,128.6,4.03,2.01
91,켈리,20L,16,16,0,0,16,5,6,0,0,95.1,47,45,403,104,21,0,8,23,0,5,76,0,3,4.25,3.98,1.33,110.1,117.7,1.40,0.18
92,문승원,20S,16,16,1,0,16,3,7,0,0,94.0,43,39,387,88,21,0,10,23,0,4,76,0,2,3.73,4.23,1.18,128.5,115.7,2.20,0.08
93,윌슨,20L,16,16,0,0,16,6,6,0,0,93.1,49,40,406,97,13,1,7,33,0,3,71,1,2,3.86,4.21,1.39,121.3,111.5,1.10,-0.30
94,이영하,20두,16,16,0,0,16,3,6,0,0,89.1,61,53,422,111,19,1,5,46,0,4,57,1,3,5.34,4.73,1.76,87.8,99.5,0.17,-1.52
95,라이트,20N,16,16,0,0,16,6,4,0,0,88.2,41,40,378,84,14,0,8,37,0,5,74,1,3,4.06,4.52,1.37,120.7,107.2,1.81,-0.57
96,최원태,20키,16,16,0,0,16,6,4,0,0,86.2,55,49,375,92,12,0,13,23,1,6,56,0,5,5.09,5.23,1.33,93.2,89.6,0.21,-0.33
97,임규빈,20키,16,16,0,0,0,1,0,0,1,18.0,9,9,77,19,5,0,5,6,0,1,10,0,1,4.50,7.27,1.39,105.3,64.0,0.31,-0.18
98,이현호,20한,16,16,0,0,0,0,2,0,0,15.1,12,11,75,18,0,0,4,10,0,1,15,1,3,6.46,7.19,1.83,74.2,67.5,0.04,-0.84
99,정해영,20K,16,16,0,0,0,3,0,0,1,15.1,2,2,56,9,2,0,1,5,0,1,17,0,2,1.17,3.40,0.91,422.6,145.0,0.85,0.09
100,신정락,20한,16,16,0,0,0,0,1,0,0,12.0,12,12,57,15,3,1,2,7,0,2,14,0,2,9.00,5.68,1.83,53.2,85.2,-0.15,-0.23
101,가뇽,20K,15,15,0,0,15,6,4,0,0,84.0,42,36,365,78,19,5,2,33,0,5,81,0,5,3.86,3.34,1.32,128.6,146.7,1.64,-0.27
102,박종훈,20S,15,15,0,0,15,5,5,0,0,81.2,47,45,355,80,8,2,7,38,0,6,81,0,2,4.96,4.35,1.45,96.7,112.1,0.77,-0.85
103,한현희,20키,15,15,0,0,15,6,5,0,0,80.1,54,52,361,98,12,1,5,20,1,11,64,2,2,5.83,3.94,1.47,81.4,120.4,-0.23,-0.42
