,IDENTIFICATION,PLAYER_DETAIL,POSITIONS,HEIGHT,WEIGHT,SALARY,FIRST_YEAR
154,50811,길지석_2001년 11월 02일,투수(우투우타),190cm,110kg,2700만원,0
155,50812,박시후_2001년 05월 10일,투수(좌투좌타),182cm,88kg,2700만원,0
156,50813,양선률_1997년 04월 15일,투수(우투우타),186cm,87kg,2700만원,20SK
157,50814,이재성_2001년 03월 15일,투수(좌투좌타),185cm,80kg,2700만원,0
158,50815,킹엄_1991년 11월 08일,투수(우투우타),196cm,106kg,500000달러,20SK
159,50816,김태우_1995년 02월 20일,포수(우투우타),175cm,89kg,2700만원,0
160,50817,김교람_2000년 03월 29일,내야수(우투우타),185cm,86kg,2700만원,0
161,50818,석호준_1997년 07월 23일,내야수(우투우타),181cm,96kg,2700만원,0
162,50819,이거연_1997년 06월 15일,내야수(우투우타),186cm,92kg,2700만원,20SK
163,50820,전의산_2000년 11월 25일,내야수(우투좌타),188cm,98kg,2700만원,0
164,50835,핀토_1994년 01월 20일,투수(우투우타),183cm,88kg,450000달러,20SK
165,50840,현원회_2001년 07월 08일,포수(우투우타),180cm,95kg,2700만원,20SK
166,50848,김성민_2001년 04월 30일,내야수(우투우타),184cm,88kg,2700만원,20SK
167,50854,최지훈_1997년 07월 23일,외야수(우투좌타),178cm,82kg,2700만원,20SK
168,50859,오원석_2001년 04월 23일,투수(좌투좌타),182cm,80kg,2700만원,20SK
169,50868,류효승_1996년 07월 16일,외야수(우투우타),190cm,100kg,2700만원,20SK
170,50900,임형원_2001년 09월 15일,투수(우투우타),183cm,73kg,2700만원,20NC
171,50901,안인산_2001년 02월 27일,투수(우투우타),181cm,95kg,2700만원,20NC
172,50902,김한별_2001년 01월 18일,투수(우투우타),177cm,85kg,2700만원,0
173,50903,한재환_2001년 10월 19일,내야수(우투우타),177cm,89kg,2700만원,0
174,50904,이종준_2001년 03월 09일,투수(우투우타),191cm,93kg,2700만원,0
175,50905,강태경_2001년 07월 26일,투수(우투좌타),188cm,95kg,2700만원,0
176,50906,박영빈_1997년 07월 16일,외야수(우투좌타),182cm,77kg,2700만원,0
177,50911,한건희_2000년 09월 04일,투수(우투우타),188cm,105kg,2700만원,0
178,50912,라이트_1990년 01월 03일,투수(우투우타),198cm,97kg,800000달러,20NC
179,50923,알테어_1991년 01월 14일,외야수(우투우타),196cm,97kg,800000달러,20NC
180,50955,노상혁_1997년 09월 21일,투수(우투우타),190cm,94kg,2700만원,0
